zone_id,latitude,longitude
MEL_Z01,28.132351193743787,85.51843192666857
MEL_Z02,28.112657140938634,85.54336576900093
MEL_Z03,28.08716141197509,85.52839290494447
MEL_Z04,28.05669857600072,85.52428556002697
MEL_Z05,28.023892948333362,85.52985010003086
MEL_Z06,27.993656694502086,85.53233101629563
MEL_Z07,27.961530582566,85.52211261843321
MEL_Z08,27.944274340771234,85.56412711720044
MEL_Z09,27.91319188836543,85.53708443105411
MEL_Z10,27.8808493075097,85.52752717044814
MEL_Z11,27.84809178042635,85.5337489430202
MEL_Z12,27.836291692701643,85.56610251341645
